,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
247,0.062060375,0.009172513,0.67073625,0.030515252,0.029324954,0.19819064
248,0.06590764,0.008774546,0.6280084,0.03389004,0.030399594,0.23301971
249,0.08446037,0.014569692,0.5829911,0.045744956,0.033912994,0.23832083
250,0.22442853,0.25930357,0.19417857,0.15079261,0.06322877,0.10806799
251,0.18761598,0.39339924,0.16597822,0.11071084,0.08585602,0.05643974
252,0.2557049,0.37846792,0.08451311,0.14210154,0.088301286,0.050911196
253,0.2594707,0.37057602,0.06412872,0.13892628,0.1245609,0.042337347
254,0.20242614,0.44425374,0.07707913,0.13602614,0.0862381,0.053976804
255,0.31075215,0.37458652,0.049040463,0.17123613,0.044626866,0.049757887
256,0.31452662,0.36271775,0.051449884,0.17295955,0.046153277,0.05219294
257,0.22523287,0.36077136,0.07440965,0.14253034,0.14162436,0.05543138
258,0.32290056,0.31872082,0.036940858,0.24253455,0.003978485,0.074924655
259,0.1543101,0.398707,0.07387007,0.14127286,0.15332547,0.07851443
260,0.25303602,0.27995095,0.033229575,0.24545805,0.022503026,0.16582231
261,0.1787902,0.37163544,0.040676773,0.20682271,0.031678095,0.17039679
262,0.18609226,0.3529834,0.03675853,0.2156438,0.024393767,0.18412836
263,0.19637771,0.32855853,0.05563304,0.20890087,0.032628123,0.1779018
264,0.15258704,0.4676261,0.06734189,0.16383596,0.013400066,0.13520901
265,0.18609238,0.51528156,0.048088416,0.16066773,0.013940632,0.075929284
266,0.1679017,0.4259383,0.04576042,0.20037581,0.0034487236,0.1565751
267,0.19266236,0.3572978,0.06289306,0.20163348,0.013866124,0.17164713
268,0.19245432,0.31777966,0.05826799,0.21153337,0.0076468964,0.2123178
269,0.11656917,0.26587853,0.09738719,0.16474253,0.052837893,0.30258468
270,0.16598532,0.30325997,0.11104984,0.18289846,0.02647013,0.21033627
271,0.1617256,0.34080824,0.064391404,0.19017875,0.051064007,0.19183207
272,0.14396384,0.31512356,0.08153745,0.1816473,0.036942597,0.24078523
273,0.13596138,0.34778345,0.08705183,0.1751643,0.013228537,0.24081047
274,0.15764791,0.29941204,0.090345405,0.19140536,0.01037083,0.25081846
275,0.13793041,0.3143061,0.088519804,0.17840464,0.02090322,0.25993586
276,0.10517795,0.35059506,0.100259066,0.15007472,0.032367855,0.2615253
277,0.08954223,0.3321999,0.11701295,0.13433608,0.07470498,0.25220385
278,0.105422415,0.34168822,0.098754555,0.15062301,0.04601612,0.25749573
279,0.0773533,0.3114386,0.118139096,0.1252505,0.103818595,0.26399994
280,0.08072999,0.39134458,0.093348846,0.1307087,0.05330115,0.25056675
281,0.077847995,0.37379253,0.09594173,0.12997755,0.031664584,0.29077554
282,0.080466725,0.374455,0.10778334,0.12876044,0.0393838,0.26915073
283,0.1008428,0.33435497,0.13092375,0.14020948,0.03679293,0.25687605
284,0.12513626,0.26903453,0.15422516,0.15779093,0.015602308,0.27821073
285,0.10447649,0.30641198,0.17967667,0.13089374,0.053986073,0.22455502
286,0.0981319,0.3844505,0.18029857,0.117418855,0.033051103,0.18664905
287,0.11425098,0.2850828,0.17158705,0.14169022,0.043296587,0.2440924
288,0.10442342,0.30745643,0.087101586,0.1551997,0.07005846,0.2757604
289,0.06776441,0.34458745,0.08161718,0.12627256,0.08037925,0.2993792
290,0.08149549,0.3675515,0.08357562,0.13602643,0.057810005,0.27354094
291,0.09000127,0.39437205,0.08702085,0.13890402,0.051492978,0.23820882
292,0.11713854,0.33326095,0.10509764,0.15435828,0.068132,0.22201253
293,0.1158264,0.31606066,0.1582535,0.14139517,0.053954717,0.21450956
294,0.124846935,0.37725556,0.1894205,0.12246347,0.04782103,0.13819255
295,0.09002491,0.32601956,0.2199153,0.10687873,0.08375772,0.17340378
296,0.080504544,0.3018511,0.26916352,0.09214254,0.102628276,0.15371004
297,0.09358529,0.3651962,0.30703124,0.07196685,0.09251585,0.069704585
298,0.12500687,0.26801026,0.4105853,0.078677304,0.03664979,0.08107042
299,0.13656239,0.298954,0.33236557,0.09345573,0.04867868,0.08998357
300,0.16368662,0.27273554,0.28801727,0.11813102,0.04431952,0.113110065
301,0.11331769,0.28995454,0.30722547,0.08369352,0.12406828,0.08174049
302,0.09588188,0.2761151,0.38521618,0.06523785,0.11160047,0.06594857
303,0.1078084,0.3166249,0.3334828,0.0788425,0.08470389,0.078537546
304,0.13887405,0.34479067,0.30508226,0.0879951,0.053079065,0.070178874
305,0.12339446,0.34673208,0.36701465,0.07092833,0.03498197,0.056948517
306,0.09807175,0.34128264,0.31032586,0.08720611,0.051790453,0.111323155
307,0.09317605,0.24129985,0.3867965,0.08715713,0.04746846,0.144102
308,0.11783141,0.24431328,0.27681568,0.124521054,0.02112031,0.21539827
309,0.10962149,0.24544336,0.24029268,0.12731536,0.04187989,0.23544712
310,0.14668657,0.29173726,0.21120688,0.1415955,0.036140528,0.17263328
311,0.18803117,0.28232545,0.12975313,0.18763371,0.021212852,0.19104369
312,0.15659006,0.29626402,0.11968781,0.174672,0.04113764,0.21164842
313,0.110715054,0.3204017,0.09859458,0.153338,0.075576395,0.24137427
314,0.1755186,0.2960773,0.079187445,0.1954895,0.041105244,0.21262185
315,0.18271102,0.26330304,0.06983892,0.200641,0.076769024,0.20673695
316,0.11568687,0.23803358,0.10318644,0.15074697,0.17437662,0.2179695
317,0.12650813,0.21299101,0.1319629,0.16051333,0.084022425,0.28400224
318,0.16018468,0.22419894,0.123697825,0.18827242,0.025857996,0.27778816
319,0.17175044,0.22109966,0.1301136,0.19205211,0.023856789,0.2611274
320,0.09229345,0.20733258,0.11264516,0.14195639,0.12469909,0.3210734
321,0.11446555,0.2421777,0.078326054,0.17194915,0.0494618,0.3436197
322,0.06827854,0.17221713,0.08963113,0.13177937,0.09336375,0.44473007
323,0.10659613,0.17290777,0.06621315,0.16999336,0.08763287,0.39665672
324,0.10320376,0.21169966,0.05751674,0.17215805,0.07663587,0.37878588
