,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
298,0.17307693,0.32692307,0.33894232,0.07692308,0.0,0.084134616
299,0.1919192,0.3131313,0.3560606,0.08080808,0.0,0.058080807
300,0.22025317,0.32405064,0.33164558,0.08101266,0.0,0.043037973
301,0.24050634,0.2734177,0.35949367,0.06835443,0.0,0.05822785
302,0.22572179,0.27296588,0.4120735,0.060367454,0.0,0.028871391
303,0.2093596,0.27093595,0.3916256,0.098522164,0.0,0.02955665
304,0.21963824,0.2248062,0.40568477,0.10594315,0.0,0.043927647
305,0.23255815,0.23772609,0.39534885,0.087855294,0.0,0.046511628
306,0.22864321,0.18341708,0.36934674,0.13819095,0.0,0.08040201
307,0.2303207,0.16034986,0.34110788,0.1516035,0.0,0.116618074
308,0.17191978,0.20057307,0.29512894,0.1260745,0.0,0.20630373
309,0.21038961,0.15324676,0.24935065,0.13246754,0.0,0.25454545
310,0.31132075,0.12264151,0.20125785,0.13836478,0.0,0.2264151
311,0.29807693,0.12820514,0.16025642,0.13461539,0.0,0.27884614
312,0.35410765,0.12181303,0.08215298,0.12181303,0.0,0.3201133
313,0.34530386,0.08839779,0.063535914,0.12707183,0.0,0.3756906
314,0.41137123,0.10367893,0.026755853,0.110367894,0.0,0.3478261
315,0.35925925,0.074074075,0.05185185,0.15925926,0.0,0.35555556
316,0.3846154,0.08361204,0.053511705,0.13712375,0.0,0.3411371
317,0.3492647,0.07720588,0.09191176,0.18014705,0.0,0.30147058
318,0.30078125,0.06640625,0.08984375,0.22265625,0.0,0.3203125
319,0.23472668,0.08038585,0.08038585,0.29581994,0.0,0.30868167
320,0.1986755,0.08609272,0.07284768,0.30463576,0.0,0.33774835
321,0.13521127,0.14084508,0.07042254,0.31267604,0.0,0.34084508
322,0.15915915,0.16216215,0.042042043,0.3063063,0.0,0.33033034
323,0.1097561,0.19817074,0.033536587,0.3262195,0.018292682,0.3140244
324,0.15176152,0.200542,0.032520324,0.22764228,0.032520324,0.35501355
325,0.16397849,0.25,0.016129032,0.1827957,0.029569892,0.35752687
326,0.15850145,0.24783862,0.011527377,0.14409222,0.048991356,0.389049
327,0.16901408,0.23098591,0.0028169013,0.1887324,0.07042254,0.33802816
328,0.21098267,0.216763,0.0,0.23699422,0.057803467,0.27745664
329,0.21212122,0.14545454,0.0,0.33636364,0.042424243,0.26363635
330,0.22222222,0.1,0.0,0.41111112,0.019444445,0.24722221
331,0.25073746,0.11504425,0.0,0.27138644,0.056047197,0.30678466
332,0.2798913,0.08423913,0.0,0.29891303,0.05978261,0.2771739
333,0.26878613,0.08381503,0.0,0.32658958,0.07225434,0.24855492
334,0.30054644,0.057377048,0.0027322404,0.2513661,0.08743169,0.30054644
335,0.22522523,0.10810811,0.036036037,0.24624625,0.0990991,0.2852853
336,0.23785166,0.10485934,0.046035804,0.2173913,0.09207161,0.30179027
337,0.23919308,0.10951009,0.074927956,0.24783862,0.074927956,0.2536023
338,0.2521739,0.12463768,0.07826087,0.25507247,0.057971016,0.23188406
339,0.29810297,0.11382114,0.100271,0.25474253,0.06775068,0.16531165
340,0.27642277,0.08943089,0.13821138,0.23306233,0.08130081,0.18157181
341,0.32107842,0.11029412,0.11519608,0.20833333,0.05147059,0.19362745
342,0.35572138,0.12935324,0.12686567,0.13432837,0.047263682,0.20646766
343,0.30254042,0.14549653,0.14318706,0.1408776,0.066974595,0.20092379
344,0.33483145,0.10561798,0.14157303,0.09213483,0.08988764,0.23595506
345,0.33789954,0.07534247,0.13926941,0.070776254,0.14155251,0.23515981
346,0.33842796,0.08733624,0.13755459,0.1069869,0.139738,0.18995634
347,0.41870824,0.0623608,0.15144767,0.08240534,0.12694877,0.15812917
348,0.42307693,0.040865384,0.1610577,0.120192304,0.14423077,0.11057692
349,0.40375587,0.025821596,0.20657277,0.12676056,0.16431925,0.072769955
350,0.40493828,0.01728395,0.2271605,0.14074074,0.16296296,0.04691358
351,0.38496584,0.022779044,0.2574032,0.08428246,0.18678816,0.06378132
352,0.39439654,0.01724138,0.28879312,0.073275864,0.18318966,0.04310345
353,0.38271606,0.010288066,0.30246913,0.07613169,0.16666667,0.061728396
354,0.36491936,0.016129032,0.30846775,0.076612905,0.18548387,0.048387095
355,0.33267716,0.021653544,0.32480314,0.08267716,0.17519686,0.062992126
356,0.34593573,0.026465029,0.3100189,0.07372401,0.18147448,0.062381852
357,0.30919766,0.023483366,0.27984345,0.08414873,0.23091976,0.072407044
358,0.31598514,0.014869888,0.27695167,0.08550186,0.232342,0.07434944
359,0.3639775,0.013133208,0.19136961,0.11819887,0.22138837,0.09193246
360,0.33778626,0.013358778,0.17366412,0.13931298,0.22900763,0.10687023
361,0.37209302,0.0042283298,0.16913319,0.18181819,0.17336152,0.09936575
362,0.3760504,0.016806724,0.09663866,0.15966387,0.20168068,0.14915967
363,0.3783231,0.055214725,0.08179959,0.1820041,0.1799591,0.12269939
364,0.3460722,0.061571125,0.112526536,0.16135882,0.16772823,0.1507431
365,0.32041344,0.093023255,0.12403101,0.15503876,0.17571059,0.13178295
366,0.2626728,0.1313364,0.11981567,0.15437788,0.14285715,0.1889401
367,0.24159664,0.09663866,0.11554622,0.11554622,0.19957983,0.23109244
368,0.24336283,0.090707965,0.10619469,0.09955752,0.24557522,0.21460177
369,0.24228029,0.06175772,0.09026128,0.14489311,0.25653207,0.20427553
370,0.22794117,0.05637255,0.078431375,0.10784314,0.24509804,0.28431374
371,0.24570024,0.083538085,0.07862408,0.098280095,0.23832923,0.25552824
372,0.23844282,0.085158154,0.085158154,0.09489051,0.25060827,0.2457421
373,0.22815534,0.09223301,0.09466019,0.07281554,0.2524272,0.25970873
374,0.26150122,0.07990315,0.084745765,0.08232445,0.21791768,0.27360776
375,0.27014217,0.073459715,0.061611373,0.08056872,0.23696682,0.27725118
376,0.23115578,0.06281407,0.057788946,0.07537688,0.2713568,0.30150753
377,0.24739583,0.057291668,0.044270832,0.020833334,0.2265625,0.40364584
378,0.2014742,0.07616708,0.07125307,0.03685504,0.16461916,0.44963145
379,0.21076234,0.044843048,0.08744395,0.040358745,0.20179372,0.4147982
380,0.16203703,0.048611112,0.11574074,0.08796296,0.2013889,0.38425925
381,0.19184652,0.09352518,0.1031175,0.110311754,0.20383693,0.29736212
