,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
186,0.12578043,0.046232905,0.12843339,0.118955076,0.08578083,0.08244919,0.13857274,0.27379546
187,0.12637956,0.05153645,0.12993523,0.12040633,0.090923145,0.08614691,0.13681668,0.25785565
188,0.13811223,0.07384048,0.11651926,0.11980723,0.11574346,0.0957078,0.103978105,0.23629153
189,0.1483383,0.119800515,0.09579179,0.10471007,0.15906525,0.110107765,0.06528207,0.19690429
190,0.14327078,0.115635805,0.103194974,0.10927841,0.15202959,0.11040141,0.07497278,0.19121625
191,0.13942046,0.08397365,0.11350926,0.11809425,0.1249806,0.09978628,0.09665236,0.22358322
192,0.17368425,0.11563055,0.06809789,0.08818356,0.17220847,0.09970172,0.03718924,0.24530429
193,0.13965179,0.07320003,0.114533745,0.11927012,0.115798056,0.094980896,0.1014824,0.24108294
194,0.16966228,0.09957935,0.07728743,0.09833537,0.15334651,0.0965941,0.048467897,0.25672707
195,0.17046763,0.11010256,0.07349453,0.09323042,0.16420884,0.099547654,0.04293294,0.24601538
196,0.14900859,0.13342492,0.090495855,0.09791374,0.1724198,0.11373302,0.056036457,0.18696758
197,0.14228074,0.13057874,0.09988548,0.10400034,0.16457061,0.1151867,0.06753687,0.17596051
198,0.165918,0.14429083,0.06540508,0.07846125,0.19768411,0.108893365,0.03086929,0.2084781
199,0.1518026,0.1287031,0.08871301,0.09828046,0.16988224,0.11148089,0.055205904,0.19593182
200,0.16548471,0.14442602,0.06559297,0.07859984,0.19747646,0.1089874,0.03104286,0.20838971
201,0.15758422,0.18627642,0.051300004,0.057444416,0.24237353,0.11353684,0.017809974,0.17367469
202,0.17826904,0.12665504,0.059631094,0.078297086,0.18862632,0.10044203,0.028066201,0.24001327
203,0.1579021,0.18838304,0.049669355,0.055618085,0.24609631,0.113074936,0.016699038,0.17255712
204,0.17305946,0.17436458,0.040669776,0.051181853,0.2469225,0.103959925,0.01226782,0.19757405
