,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
121,0.116883114,0.08766234,0.071428575,0.051948052,0.1590909,0.10064935,0.035714287,0.37662336
122,0.13529412,0.0882353,0.0882353,0.05,0.18235295,0.07941177,0.04117647,0.33529413
123,0.13333334,0.13939394,0.060606062,0.045454547,0.12727273,0.1030303,0.048484847,0.34242424
124,0.124590166,0.12786885,0.07540984,0.04918033,0.114754096,0.091803275,0.029508196,0.38688526
125,0.122977346,0.14886731,0.08737864,0.067961164,0.097087376,0.084142394,0.03883495,0.3527508
126,0.15072463,0.10724638,0.07826087,0.060869563,0.14202899,0.104347825,0.028985508,0.32753623
127,0.16774194,0.09354839,0.058064517,0.106451616,0.13225806,0.074193545,0.058064517,0.30967742
128,0.18604651,0.11627907,0.046511628,0.09767442,0.074418604,0.0883721,0.041860465,0.3488372
129,0.22264151,0.06792453,0.02264151,0.0754717,0.12075472,0.116981134,0.033962265,0.33962265
130,0.18439716,0.06737588,0.039007094,0.10638298,0.11702128,0.07446808,0.010638298,0.4007092
131,0.20149253,0.0858209,0.014925373,0.104477614,0.16044776,0.08208955,0.0037313432,0.34701493
132,0.20357142,0.07857143,0.007142857,0.10714286,0.14285715,0.08214286,0.0,0.37857142
133,0.23841059,0.07284768,0.0033112583,0.08940397,0.16225165,0.052980132,0.0,0.3807947
134,0.22996515,0.07665505,0.017421603,0.1184669,0.12891985,0.06968641,0.0,0.35888502
135,0.21548821,0.060606062,0.02020202,0.104377106,0.13468014,0.11111111,0.0,0.35353535
136,0.26007327,0.07326008,0.0073260074,0.054945055,0.102564104,0.13919415,0.0,0.36263737
137,0.27306274,0.018450184,0.018450184,0.12177122,0.15498155,0.12177122,0.0,0.2915129
138,0.25082508,0.04950495,0.01650165,0.12541254,0.14521453,0.12541254,0.0,0.28712872
139,0.2326389,0.041666668,0.010416667,0.15972222,0.13541667,0.13194445,0.0,0.28819445
140,0.20652173,0.050724637,0.0036231885,0.19202898,0.16666667,0.11231884,0.0,0.26811594
141,0.17666666,0.07333333,0.006666667,0.17333333,0.13,0.15666667,0.0033333334,0.28
142,0.16027875,0.07665505,0.013937282,0.22299652,0.114982575,0.14634146,0.0034843206,0.26132405
143,0.17197452,0.044585988,0.022292994,0.21656051,0.12738854,0.14012739,0.022292994,0.25477707
144,0.14238411,0.059602648,0.03642384,0.17549668,0.12913907,0.16225165,0.046357617,0.24834438
145,0.16037735,0.059748426,0.034591194,0.16352202,0.1446541,0.13522013,0.062893085,0.2389937
146,0.12027492,0.05498282,0.09965636,0.13402061,0.1305842,0.1305842,0.07560138,0.25429553
147,0.11692308,0.05230769,0.083076924,0.092307694,0.12307692,0.15076923,0.11384615,0.2676923
148,0.10992908,0.05319149,0.16312057,0.10283688,0.10992908,0.11347517,0.09929078,0.24822696
149,0.088435374,0.054421768,0.18367347,0.05782313,0.108843535,0.12244898,0.11564626,0.26870748
150,0.13494809,0.031141868,0.23875433,0.048442908,0.10380623,0.08650519,0.11072665,0.24567474
151,0.10469314,0.0433213,0.23465703,0.06137184,0.10469314,0.12635379,0.079422385,0.24548736
152,0.098684214,0.03618421,0.25657895,0.04605263,0.09539474,0.078947365,0.09539474,0.29276314
153,0.09602649,0.0397351,0.30463576,0.01655629,0.11258278,0.06622516,0.08940397,0.27483442
154,0.1373802,0.031948883,0.2715655,0.019169329,0.12460064,0.07028754,0.10223642,0.2428115
155,0.099071205,0.0371517,0.33126935,0.04024768,0.108359136,0.06501548,0.05263158,0.26625386
156,0.10714286,0.051948052,0.33766234,0.038961038,0.09415584,0.058441557,0.035714287,0.27597404
157,0.1086262,0.0543131,0.2971246,0.038338657,0.095846646,0.060702875,0.038338657,0.30670926
158,0.08766234,0.045454547,0.29220778,0.042207792,0.12012987,0.06168831,0.045454547,0.3051948
159,0.12460064,0.047923323,0.23003195,0.038338657,0.10543131,0.08306709,0.076677315,0.29392973
160,0.081911266,0.054607507,0.2320819,0.030716723,0.1331058,0.081911266,0.09556314,0.2901024
161,0.0815047,0.043887146,0.21943574,0.037617553,0.13793103,0.07836991,0.07836991,0.32288402
162,0.09364548,0.036789298,0.2006689,0.06688963,0.117056854,0.10702341,0.08695652,0.2909699
163,0.10069445,0.048611112,0.19791667,0.055555556,0.15277778,0.072916664,0.09375,0.2777778
